,01,02,03,04,05,06,07,League,Points
0001201310002,RB,QB,NaN,RB,NaN,NaN,,201310002,0.5144185464060986
0002201310002,NaN,WR,RB,WR,WR,RB,,201310002,-0.4995938044347427
0003201310002,NaN,NaN,WR,TE,QB,WR,,201310002,-1.5847649167380993
0004201310002,RB,RB,WR,NaN,NaN,RB,,201310002,-0.41064535260659873
0005201310002,RB,WR,QB,WR,NaN,RB,,201310002,0.6656309145139434
0006201310002,RB,WR,NaN,WR,QB,NaN,,201310002,0.8257381278046027
0007201310002,NaN,RB,WR,WR,TE,NaN,,201310002,0.9413711151811898
0008201310002,NaN,WR,RB,QB,WR,RB,,201310002,0.3187319523841819
0009201310002,RB,WR,NaN,RB,NaN,NaN,,201310002,1.2971649224937656
0010201310002,NaN,NaN,WR,NaN,NaN,WR,,201310002,-1.3623937871677392
0011201310002,RB,NaN,NaN,RB,NaN,QB,,201310002,-1.558080381189656
0012201310002,WR,TE,TE,QB,WR,NaN,,201310002,0.8524226633530458
0001201310002,RB,QB,NaN,RB,NaN,NaN,,201310002,0.5144185464060986
0002201310002,NaN,WR,RB,WR,WR,RB,,201310002,-0.4995938044347427
0003201310002,NaN,NaN,WR,TE,QB,WR,,201310002,-1.5847649167380993
0004201310002,RB,RB,WR,NaN,NaN,RB,,201310002,-0.41064535260659873
0005201310002,RB,WR,QB,WR,NaN,RB,,201310002,0.6656309145139434
0006201310002,RB,WR,NaN,WR,QB,NaN,,201310002,0.8257381278046027
0007201310002,NaN,RB,WR,WR,TE,NaN,,201310002,0.9413711151811898
0008201310002,NaN,WR,RB,QB,WR,RB,,201310002,0.3187319523841819
0009201310002,RB,WR,NaN,RB,NaN,NaN,,201310002,1.2971649224937656
0010201310002,NaN,NaN,WR,NaN,NaN,WR,,201310002,-1.3623937871677392
0011201310002,RB,NaN,NaN,RB,NaN,QB,,201310002,-1.558080381189656
0012201310002,WR,TE,TE,QB,WR,NaN,,201310002,0.8524226633530458
0001201310003,RB,TE,RB,RB,QB,WR,,201310003,0.6587870893286906
0002201310003,NaN,WR,RB,WR,QB,RB,,201310003,-0.9466604392874461
0003201310003,WR,NaN,QB,RB,NaN,WR,,201310003,0.6920032450931625
0004201310003,NaN,NaN,QB,RB,WR,NaN,,201310003,-0.40412989513440684
0005201310003,WR,WR,NaN,NaN,NaN,RB,,201310003,0.9909486469734086
0006201310003,RB,WR,RB,RB,QB,WR,,201310003,-0.16054475286161368
0007201310003,RB,WR,NaN,TE,NaN,QB,,201310003,-1.2566778930891829
0008201310003,RB,WR,WR,RB,QB,NaN,,201310003,-0.20483296054757608
0009201310003,RB,RB,NaN,WR,TE,NaN,,201310003,1.9099289564571282
0010201310003,NaN,QB,NaN,WR,NaN,RB,,201310003,-1.865640748771166
0011201310003,RB,RB,QB,WR,NaN,WR,,201310003,0.5148504143493129
0012201310003,RB,RB,NaN,TE,NaN,QB,,201310003,0.0719683374896889
0001201010005,NaN,NaN,NaN,NaN,TE,NaN,,201010005,2.5298221281347035
0002201010005,QB,NaN,TE,NaN,NaN,NaN,,201010005,0.0
0003201010005,QB,RB,RB,WR,WR,WR,,201010005,-1.2649110640673518
0004201010005,QB,RB,NaN,NaN,WR,NaN,,201010005,-0.6324555320336759
0005201010005,QB,NaN,QB,NaN,NaN,NaN,,201010005,0.0
0006201010005,NaN,QB,NaN,WR,NaN,NaN,,201010005,-0.6324555320336759
0007201010005,RB,NaN,NaN,NaN,NaN,NaN,,201010005,1.8973665961010275
0008201010005,NaN,WR,NaN,NaN,NaN,QB,,201010005,0.0
0009201010005,NaN,NaN,NaN,TE,WR,NaN,,201010005,1.2649110640673518
0010201010005,RB,NaN,NaN,RB,NaN,NaN,,201010005,-0.6324555320336759
0011201010005,NaN,QB,WR,NaN,TE,NaN,,201010005,0.0
0012201010005,NaN,NaN,QB,WR,RB,NaN,,201010005,-0.6324555320336759
0013201010005,RB,QB,NaN,NaN,NaN,TE,,201010005,-0.6324555320336759
