"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Barry Bonds","Giants","13.8 %","66.6 %","36.8 %","53.9 %","90.5 %","82.8 %","43.7 %","31.3 %","5.7 %","925",".402",".283","27.7 %","10.5 %","542.9","4072","1109"
"Albert Pujols","Cardinals","20.1 %","65.2 %","41.9 %","67.5 %","92.2 %","86.1 %","48.3 %","46.4 %","5.7 %","1900",".293",".315","13.5 %","9.5 %","590.7","6782","1177"
"Manny Ramirez","- - -","19.9 %","69.4 %","44.2 %","58.2 %","87.1 %","80.5 %","49.2 %","47.0 %","8.4 %","1641",".277",".343","14.1 %","18.5 %","449.9","6194","210"
"Larry Walker","- - -","16.2 %","71.7 %","43.9 %","41.5 %","83.4 %","75.7 %","50.0 %","37.0 %","10.6 %","729",".247",".340","13.7 %","15.3 %","142.6","2773","455"
"Todd Helton","Rockies","18.3 %","68.3 %","42.8 %","75.7 %","90.7 %","87.5 %","49.1 %","42.4 %","5.3 %","1858",".230",".340","15.5 %","12.1 %","359.3","6884","432"
"Alex Rodriguez","- - -","20.6 %","67.9 %","43.7 %","51.7 %","83.2 %","75.6 %","48.9 %","45.6 %","10.5 %","1881",".279",".313","12.3 %","18.2 %","478.0","7363","1274"
"Joey Votto","Reds","26.5 %","73.3 %","47.6 %","62.2 %","83.6 %","77.0 %","45.1 %","57.8 %","10.8 %","511",".243",".353","12.0 %","18.6 %","113.9","1870","4314"
"Jason Giambi","- - -","15.5 %","63.7 %","38.6 %","51.0 %","85.6 %","78.4 %","47.9 %","39.1 %","8.3 %","1214",".264",".286","17.4 %","18.0 %","359.4","5609","818"
"Jim Thome","- - -","17.9 %","68.2 %","41.2 %","41.7 %","78.1 %","69.7 %","46.3 %","41.5 %","12.3 %","1333",".295",".309","17.2 %","25.1 %","352.1","6021","409"
"Lance Berkman","- - -","18.4 %","71.1 %","43.1 %","49.5 %","86.4 %","78.0 %","46.7 %","45.0 %","9.3 %","1653",".251",".318","15.5 %","16.6 %","393.3","6730","548"
"Chipper Jones","Braves","14.1 %","71.3 %","41.6 %","56.9 %","85.8 %","80.7 %","48.1 %","40.4 %","7.9 %","1619",".232",".317","15.1 %","13.0 %","362.1","6268","97"
"Matt Holliday","- - -","25.3 %","77.6 %","50.7 %","57.5 %","85.4 %","78.2 %","48.6 %","58.3 %","10.9 %","1216",".226",".348","9.1 %","16.2 %","199.9","4313","1873"
"Carlos Delgado","- - -","24.0 %","71.0 %","46.7 %","54.7 %","80.8 %","73.8 %","48.2 %","43.0 %","12.0 %","1416",".267",".306","13.4 %","18.9 %","308.2","5938","1297"
"Vladimir Guerrero","- - -","38.0 %","84.6 %","58.2 %","65.8 %","89.2 %","80.5 %","43.2 %","48.0 %","11.0 %","1929",".241",".318","9.0 %","10.8 %","344.3","6737","778"
"Miguel Cabrera","- - -","27.6 %","70.6 %","48.6 %","58.5 %","86.1 %","78.1 %","48.9 %","58.5 %","10.4 %","1400",".238",".345","10.5 %","18.1 %","267.7","5089","1744"
"Jeff Bagwell","Astros","16.7 %","74.3 %","44.6 %","46.3 %","81.7 %","74.9 %","48.5 %","34.0 %","11.1 %","867",".248",".305","14.2 %","18.0 %","168.2","3631","547"
"Gary Sheffield","- - -","18.4 %","63.6 %","40.7 %","62.0 %","89.9 %","83.5 %","49.5 %","40.0 %","6.7 %","1344",".233",".288","13.3 %","11.5 %","284.8","5399","114"
"Jim Edmonds","- - -","18.3 %","69.2 %","43.5 %","52.4 %","79.5 %","73.7 %","49.4 %","43.1 %","11.3 %","1181",".265",".322","14.4 %","23.3 %","254.9","5029","1153"
"Ryan Braun","Brewers","30.8 %","66.7 %","48.2 %","61.4 %","88.4 %","79.5 %","48.4 %","60.1 %","9.8 %","711",".247",".336","7.2 %","18.3 %","129.1","2548","3410"
"Ryan Howard","Phillies","26.9 %","71.8 %","47.3 %","40.6 %","78.9 %","67.0 %","45.5 %","54.5 %","15.2 %","902",".293",".328","12.4 %","27.5 %","174.4","3765","2154"
"David Ortiz","- - -","19.6 %","71.8 %","44.4 %","50.9 %","85.7 %","77.7 %","47.6 %","46.6 %","9.8 %","1505",".270",".298","13.3 %","18.4 %","282.8","6259","745"
"Sammy Sosa","- - -","23.4 %","75.0 %","48.1 %","44.5 %","76.2 %","68.1 %","47.8 %","36.3 %","15.2 %","995",".287",".307","12.3 %","22.9 %","197.8","4088","302"
"Josh Hamilton","- - -","33.8 %","80.7 %","54.6 %","58.0 %","83.2 %","74.5 %","44.3 %","59.1 %","13.8 %","553",".233",".344","8.3 %","18.5 %","84.5","1977","1875"
"Frank Thomas","- - -","13.6 %","62.7 %","38.2 %","61.3 %","88.0 %","83.2 %","50.0 %","43.1 %","6.4 %","904",".255",".277","14.8 %","16.5 %","186.4","3983","255"
"Prince Fielder","Brewers","27.3 %","68.6 %","45.9 %","55.4 %","86.3 %","76.2 %","45.0 %","53.8 %","10.7 %","826",".256",".298","13.0 %","19.1 %","162.4","3518","4613"
"Hanley Ramirez","- - -","22.3 %","65.4 %","43.6 %","63.8 %","89.8 %","83.1 %","49.5 %","59.3 %","7.3 %","934",".207",".347","9.6 %","16.0 %","151.2","3372","8001"
"Ellis Burks","- - -","17.4 %","70.2 %","45.2 %","42.6 %","84.6 %","76.9 %","52.6 %","26.7 %","10.4 %","472",".238",".314","10.6 %","16.4 %","86.7","1808","372"
"Mark Teixeira","- - -","21.6 %","67.0 %","43.1 %","56.4 %","88.5 %","80.1 %","47.4 %","55.2 %","8.5 %","1321",".251",".303","11.5 %","17.4 %","226.3","5350","1281"
"Kevin Youkilis","Red Sox","17.9 %","57.8 %","38.4 %","61.9 %","90.4 %","83.9 %","51.4 %","57.0 %","6.1 %","816",".203",".333","12.5 %","17.9 %","132.9","3292","1935"
"Edgar Martinez","Mariners","15.4 %","60.9 %","37.9 %","52.9 %","88.0 %","80.8 %","49.6 %","30.9 %","7.2 %","689",".204",".321","14.5 %","16.3 %","137.3","2805","1086"
"Magglio Ordonez","- - -","20.5 %","75.4 %","48.6 %","62.9 %","89.4 %","83.9 %","51.2 %","45.7 %","7.8 %","1711",".204",".323","9.1 %","11.3 %","257.6","6060","248"
"David Wright","Mets","21.2 %","67.3 %","44.2 %","62.4 %","88.4 %","82.2 %","49.8 %","56.5 %","7.8 %","1149",".211",".343","11.1 %","18.5 %","198.3","4336","3787"
"Chase Utley","Phillies","21.9 %","62.0 %","41.8 %","64.8 %","90.6 %","83.8 %","49.6 %","55.0 %","6.7 %","1095",".221",".314","9.8 %","15.5 %","172.9","4324","1679"
"J.D. Drew","- - -","16.4 %","64.5 %","39.9 %","52.4 %","86.7 %","79.4 %","48.8 %","44.5 %","8.1 %","1278",".219",".316","14.4 %","18.4 %","223.4","5396","1152"
"Brian Giles","- - -","12.9 %","64.1 %","37.8 %","72.4 %","94.7 %","90.8 %","48.7 %","41.0 %","3.4 %","1490",".205",".293","15.1 %","10.0 %","287.7","6176","990"
"Travis Hafner","- - -","19.9 %","66.8 %","42.3 %","49.0 %","83.0 %","74.7 %","47.9 %","55.0 %","10.6 %","913",".236",".316","12.9 %","20.0 %","177.3","3852","1573"
"Adam Dunn","- - -","19.3 %","65.9 %","40.8 %","45.9 %","79.9 %","71.2 %","46.1 %","51.5 %","11.6 %","1246",".271",".296","16.3 %","26.9 %","238.4","6065","319"
"Moises Alou","- - -","19.9 %","79.9 %","50.0 %","55.3 %","89.2 %","82.5 %","50.2 %","41.2 %","8.7 %","1168",".214",".306","9.5 %","9.9 %","163.8","4227","261"
"Joe Mauer","Twins","20.1 %","56.0 %","37.6 %","76.2 %","93.5 %","88.8 %","48.8 %","53.5 %","4.1 %","1011",".154",".344","12.1 %","9.8 %","155.5","3578","1857"
"Bobby Abreu","- - -","14.5 %","55.6 %","34.9 %","53.7 %","88.9 %","81.5 %","49.8 %","43.6 %","6.4 %","1867",".193",".336","14.8 %","17.8 %","310.9","7599","945"
"Shin-Soo Choo","- - -","24.3 %","69.5 %","45.1 %","55.3 %","84.5 %","76.0 %","46.1 %","55.9 %","10.7 %","488",".191",".360","11.9 %","21.1 %","84.1","1921","3174"
"Derrek Lee","- - -","18.1 %","66.2 %","42.0 %","51.1 %","84.7 %","77.4 %","49.8 %","46.6 %","9.4 %","1678",".223",".326","11.5 %","19.4 %","246.4","6674","525"
"Jeff Kent","- - -","19.8 %","74.1 %","47.3 %","52.4 %","87.9 %","80.6 %","50.6 %","43.4 %","9.1 %","1429",".217",".316","9.4 %","14.0 %","209.9","5377","1119"
"Luis Gonzalez","- - -","16.9 %","68.2 %","42.1 %","64.9 %","90.8 %","85.5 %","49.2 %","36.3 %","6.0 %","1349",".220",".290","12.5 %","11.3 %","173.1","5466","55"
"Jason Bay","- - -","21.0 %","63.8 %","42.1 %","53.8 %","81.0 %","74.1 %","49.4 %","56.9 %","10.8 %","1017",".231",".327","12.4 %","23.0 %","156.1","4298","1717"
"Jorge Posada","Yankees","17.4 %","64.9 %","40.3 %","47.6 %","88.3 %","79.2 %","48.2 %","42.8 %","8.3 %","1346",".209",".323","13.5 %","20.3 %","213.8","5678","841"
"Rafael Palmeiro","- - -","15.5 %","69.8 %","41.8 %","59.6 %","91.4 %","85.3 %","48.4 %","33.1 %","6.1 %","862",".249",".253","13.8 %","11.7 %","121.7","3782","1266"
"Evan Longoria","Rays","25.3 %","65.1 %","44.4 %","58.3 %","84.9 %","77.1 %","48.1 %","55.3 %","10.0 %","455",".237",".321","10.3 %","21.0 %","75.6","1840","9368"
"Nick Johnson","- - -","14.2 %","59.2 %","36.5 %","58.2 %","88.9 %","82.8 %","49.6 %","49.0 %","6.2 %","705",".173",".309","15.9 %","17.0 %","110.4","3214","828"
"Troy Glaus","- - -","17.4 %","65.3 %","41.2 %","46.9 %","80.9 %","73.7 %","49.8 %","41.0 %","10.8 %","1207",".244",".281","13.9 %","21.3 %","175.3","5542","15"
"Scott Rolen","- - -","19.8 %","69.2 %","45.0 %","63.2 %","89.1 %","83.5 %","50.9 %","46.5 %","7.4 %","1465",".212",".304","10.3 %","15.1 %","184.8","5908","970"
"Adrian Gonzalez","- - -","26.4 %","71.8 %","47.8 %","56.8 %","85.5 %","77.1 %","47.1 %","56.6 %","10.7 %","900",".223",".310","11.4 %","18.2 %","143.4","3631","1908"
"Brad Hawpe","- - -","21.9 %","73.6 %","47.2 %","52.4 %","78.4 %","72.3 %","49.0 %","59.5 %","12.9 %","756",".211",".337","12.9 %","23.1 %","57.8","3153","1885"
"Mike Sweeney","- - -","25.0 %","77.0 %","51.2 %","63.9 %","87.8 %","82.0 %","50.3 %","38.8 %","9.1 %","1177",".197",".302","9.2 %","10.7 %","115.7","4434","634"
"Troy Tulowitzki","Rockies","23.5 %","63.2 %","43.7 %","70.3 %","88.4 %","83.6 %","50.8 %","59.9 %","7.1 %","608",".205",".319","9.5 %","16.9 %","41.2","2368","3531"
"Ryan Klesko","- - -","19.2 %","72.7 %","44.8 %","55.8 %","86.1 %","79.4 %","48.0 %","37.1 %","9.2 %","880",".204",".294","13.8 %","14.8 %","134.6","3744","1041"
"Paul Konerko","White Sox","20.8 %","64.3 %","42.7 %","58.3 %","88.9 %","81.6 %","50.5 %","47.0 %","7.8 %","1662",".223",".286","10.0 %","14.7 %","181.5","6713","242"
"Carlos Gonzalez","- - -","33.5 %","69.7 %","50.4 %","55.3 %","88.4 %","76.7 %","46.7 %","59.3 %","11.6 %","349",".220",".355","6.4 %","22.5 %","27.7","1269","7287"
"Mike Piazza","- - -","20.7 %","71.4 %","47.2 %","49.9 %","85.1 %","77.7 %","52.3 %","39.2 %","10.4 %","927",".227",".292","10.3 %","15.0 %","120.4","3670","893"
"Juan Gonzalez","- - -","29.1 %","76.4 %","53.2 %","46.4 %","86.4 %","75.7 %","50.9 %","24.7 %","12.9 %","515",".232",".318","6.0 %","17.4 %","50.8","1872","1251"
"Erubiel Durazo","- - -","19.0 %","67.4 %","42.7 %","47.0 %","86.0 %","77.1 %","49.0 %","42.4 %","9.6 %","496",".201",".308","13.3 %","18.3 %","59.2","2106","1413"
"Cliff Floyd","- - -","23.5 %","77.3 %","50.6 %","47.6 %","83.8 %","75.5 %","50.5 %","42.2 %","12.2 %","1040",".217",".305","10.4 %","17.2 %","128.4","4232","518"
"Jayson Werth","- - -","20.2 %","59.1 %","39.8 %","59.4 %","82.5 %","76.6 %","50.3 %","53.9 %","9.3 %","684",".210",".333","12.3 %","24.7 %","84.3","2939","1327"
"David Segui","- - -","20.6 %","75.5 %","47.5 %","46.6 %","86.0 %","77.2 %","49.0 %","15.9 %","10.8 %","384",".156",".351","10.2 %","16.2 %","36.4","1405","169"
"Carlos Beltran","- - -","19.5 %","65.8 %","42.4 %","61.7 %","89.5 %","83.0 %","49.4 %","45.2 %","7.1 %","1551",".218",".298","11.2 %","15.6 %","164.3","6346","589"
"Justin Morneau","Twins","30.2 %","71.2 %","49.5 %","63.3 %","88.8 %","80.5 %","47.0 %","58.3 %","9.4 %","995",".226",".295","10.0 %","15.1 %","119.3","3949","1737"
"Josh Willingham","- - -","18.0 %","62.9 %","40.2 %","54.2 %","86.3 %","79.0 %","49.5 %","57.2 %","8.4 %","588",".210",".300","11.6 %","19.8 %","72.0","2603","2103"
