"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Mike Trout","Angels","22.4 %","59.0 %","38.1 %","68.9 %","88.7 %","82.1 %","43.0 %","57.6 %","6.8 %","572",".282",".347","16.8 %","20.4 %","207.8","2298","10155"
"Joey Votto","Reds","18.3 %","67.6 %","40.2 %","75.2 %","85.7 %","83.1 %","44.5 %","55.3 %","6.7 %","630",".222",".348","18.3 %","16.0 %","187.2","2501","4314"
"Aaron Judge","Yankees","25.1 %","64.8 %","40.8 %","43.7 %","79.9 %","66.5 %","39.6 %","56.2 %","13.7 %","266",".301",".354","16.9 %","31.9 %","83.7","1196","15640"
"J.D. Martinez","- - -","33.6 %","76.9 %","52.2 %","55.6 %","82.0 %","72.3 %","42.9 %","62.5 %","14.4 %","556",".290",".353","9.4 %","25.7 %","129.7","2060","6184"
"David Ortiz","Red Sox","28.7 %","70.9 %","45.0 %","68.2 %","87.9 %","80.1 %","38.5 %","52.0 %","8.7 %","313",".293",".288","12.7 %","14.6 %","75.7","1240","745"
"Paul Goldschmidt","Diamondbacks","23.9 %","61.6 %","40.1 %","66.6 %","82.3 %","76.9 %","42.9 %","57.3 %","9.1 %","620",".238",".360","15.2 %","22.5 %","139.5","2482","9218"
"Bryce Harper","Nationals","28.1 %","72.2 %","45.4 %","59.7 %","84.3 %","75.0 %","39.3 %","54.4 %","11.2 %","499",".262",".310","17.3 %","20.5 %","128.4","2187","11579"
"Josh Donaldson","Blue Jays","25.1 %","67.5 %","43.4 %","60.4 %","82.3 %","75.1 %","43.2 %","56.5 %","10.8 %","492",".267",".303","13.5 %","19.7 %","122.3","2066","5038"
"Freddie Freeman","Braves","32.1 %","81.4 %","52.3 %","64.7 %","82.2 %","75.9 %","40.9 %","58.1 %","12.5 %","542",".243",".349","12.5 %","21.0 %","122.1","2108","5361"
"Nolan Arenado","Rockies","33.4 %","71.2 %","49.7 %","66.5 %","88.4 %","80.0 %","43.0 %","58.5 %","9.8 %","653",".279",".304","8.7 %","16.1 %","85.8","2436","9777"
"Nelson Cruz","Mariners","31.1 %","71.0 %","47.7 %","54.1 %","82.1 %","71.4 %","41.5 %","57.8 %","13.6 %","584",".265",".320","9.7 %","23.0 %","136.9","2300","2434"
"Kris Bryant","Cubs","29.6 %","72.9 %","47.8 %","58.5 %","81.1 %","73.0 %","42.0 %","59.4 %","12.9 %","571",".234",".345","12.1 %","23.6 %","120.2","2347","15429"
"Charlie Blackmon","Rockies","30.8 %","63.5 %","45.5 %","72.5 %","91.0 %","84.1 %","44.9 %","56.9 %","7.2 %","681",".219",".344","7.7 %","17.4 %","73.1","2454","7859"
"Giancarlo Stanton","- - -","30.6 %","65.9 %","44.7 %","49.1 %","80.5 %","67.6 %","40.0 %","55.6 %","14.4 %","444",".299",".306","10.8 %","27.8 %","95.8","1896","4949"
